X_scan,Y_scan,X_acc,Y_acc,Radius,Mean,StdDev,Prominence_min,Prominence_pseudo
4,1,317.1547,343.1968,3,71.5556,2.3469,3,51
4,1,154.0928,294.2398,3,92.0000,2.3469,3,61
4,1,183.4354,338.1863,3,39.1111,2.3469,3,30
4,1,329.2722,174.0645,3,13.6667,2.3469,3,8
4,1,359.1283,217.5597,3,63.1111,2.3469,3,44
4,1,341.4749,325.4376,3,44.7778,2.3469,3,37
4,1,239.1525,365.2506,3,43.0000,2.3469,3,33
4,1,363.5089,279.0425,3,31.4444,2.3469,3,22
4,1,292.1099,360.3761,3,38.2222,2.3469,3,28
4,1,356.1959,188.0811,3,37.8889,2.3469,3,25
4,1,156.2858,325.1815,3,71.4444,2.3469,3,53
4,1,366.4382,309.0855,3,49.0000,2.3469,3,37
4,1,267.0519,378.2216,3,46.1111,2.3469,3,33
4,1,386.3411,230.4680,3,38.5556,2.3469,3,32
4,1,186.3771,369.2060,3,26.1111,2.3469,3,20
4,1,214.2838,382.1246,3,31.0000,2.3469,3,23
